"name","recclass","mass","fall","year","reclat","reclong","GeoLocation"
"Dar al Gani 966","L4","204","Found","1998","26.896330","16.579500","(26.89633, 16.5795)"
"Dar al Gani 967","L5","468","Found","1998","26.889170","16.550670","(26.88917, 16.55067)"
"Dar al Gani 969","L/LL6","3145","Found","1998","26.980170","16.349670","(26.98017, 16.34967)"
"Dar al Gani 970","L5","251","Found","1998","26.899670","16.578170","(26.89967, 16.57817)"
"Dhofar 1000","H4","527.35","Found","1998","18.487780","54.180850","(18.48778, 54.18085)"
"Dhofar 1001","L6","606.97","Found","1998","18.555770","54.000770","(18.55577, 54.00077)"
"Dos Cabezas","L5","755","Found","1998","32.295000","-109.670000","(32.295, -109.67)"
"El Atchane 016","H5","156","Found","1998","29.366670","4.750000","(29.36667, 4.75)"
"El Blida 001","H5","301.2","Found","1998","29.916670","-5.416670","(29.91667, -5.41667)"
"El Blida 002","H6","286","Found","1998","29.916670","-5.416670","(29.91667, -5.41667)"
"El Pozo","L5","460","Found","1998","26.933330","-105.400000","(26.93333, -105.4)"
"Fortuna","Winonaite","312","Found","1998","-35.133330","-65.366670","(-35.13333, -65.36667)"
"Foum Zguid","Iron, IIAB","6000","Found","1998","30.066670","-6.900000","(30.06667, -6.9)"
"Gardner Ridge 98400","L6","77.8","Found","1998","-86.933330","-148.550000","(-86.93333, -148.55)"
"Gardner Ridge 98401","H4","5.3","Found","1998","-86.933330","-148.550000","(-86.93333, -148.55)"
"Glenrothes","H5","13","Found","1998","56.250000","-3.166670","(56.25, -3.16667)"
"Graves Nunataks 98001","H5","7296.7","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98002","H5","735.4","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98003","L5","426.7","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98004","H5","721.9","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98005","CM2","202.9","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98006","Eucrite-br","163.69999999999999","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
