"name","recclass","mass","fall","year","reclat","reclong","GeoLocation"
"Tulia (b)","L6","4800","Found","1917","34.533330","-101.700000","(34.53333, -101.7)"
"Waterville","Iron, IAB-ung","37125","Found","1917","47.767778","-119.876389","(47.767778, -119.876389)"
"Youanmi","Iron, IIIAB","118400","Found","1917","-29.500000","118.750000","(-29.5, 118.75)"
"Barbacena","Iron, ungrouped","9026","Found","1918","-21.216670","-43.933330","(-21.21667, -43.93333)"
"Donnybrook","Mesosiderite?","414","Found","1918","-33.616670","115.916670","(-33.61667, 115.91667)"
"Eustis","H4","502","Found","1918","28.833330","-81.683330","(28.83333, -81.68333)"
"Glasatovo","H4","152000","Fell","1918","57.350000","37.616670","(57.35, 37.61667)"
"Kimble County","H6","153800","Found","1918","30.416670","-99.400000","(30.41667, -99.4)"
"Logan","H5","1315","Found","1918","36.583330","-100.200000","(36.58333, -100.2)"
"Norfork","Iron, IIIAB","1050","Fell","1918","36.216670","-92.266670","(36.21667, -92.26667)"
"Ogallala","Iron, IAB-sLL","3300","Found","1918","41.166670","-101.666670","(41.16667, -101.66667)"
"Richardton","H5","90000","Fell","1918","46.883330","-102.316670","(46.88333, -102.31667)"
"Saratov","L4","200000","Fell","1918","52.550000","46.550000","(52.55, 46.55)"
"Tané","L5","905","Fell","1918","35.433330","136.233330","(35.43333, 136.23333)"
"Thompson Brook","Iron, IAB-ung","76.599999999999994","Found","1918","-33.616670","115.916670","(-33.61667, 115.91667)"
"Witklip Farm","H5","22","Fell","1918","-26.000000","30.000000","(-26.0, 30.0)"
"Wood's Mountain","Iron, IVA","3867","Found","1918","35.683330","-82.183330","(35.68333, -82.18333)"
"Yenberrie","Iron, IAB-MG","132000","Found","1918","-14.250000","132.016670","(-14.25, 132.01667)"
"Adhi Kot","EH4","4239","Fell","1919","32.100000","71.800000","(32.1, 71.8)"
"Anthony","H5","20000","Found","1919","37.083330","-98.050000","(37.08333, -98.05)"
"Bur-Gheluai","H5","120000","Fell","1919","5.000000","48.000000","(5.0, 48.0)"
"Cacak","OC","212","Fell","1919","43.838890","20.333330","(43.83889, 20.33333)"
"Cumberland Falls","Aubrite","17000","Fell","1919","36.833330","-84.350000","(36.83333, -84.35)"
"Freda","Iron, IAB-sLH","268","Found","1919","46.383330","-101.233330","(46.38333, -101.23333)"
"Lake Brown","L6","23400","Found","1919","-31.000000","118.500000","(-31.0, 118.5)"
"Otchinjau","Iron, IVA","30000","Found","1919","-16.500000","14.000000","(-16.5, 14.0)"
"Raoyang","L6","4910","Fell","1919","38.200000","115.700000","(38.2, 115.7)"
"Rembang","Iron, IVA","10000","Fell","1919","-6.733330","111.366670","(-6.73333, 111.36667)"
"Signal Mountain","Iron, IVA","63500","Found","1919","32.500000","-115.500000","(32.5, -115.5)"
"Somervell County","Pallasite, PMG","11800","Found","1919","32.183330","-97.800000","(32.18333, -97.8)"
"St. Mary's County","LL3.3","24.3","Fell","1919","38.166670","-76.383330","(38.16667, -76.38333)"
"Zaffra","Iron, IAB-MG","3000","Found","1919","35.000000","-94.750000","(35.0, -94.75)"
"Aguila Blanca","L","1440","Fell","1920","-30.866670","-64.550000","(-30.86667, -64.55)"
"Atarra","L4","1280","Fell","1920","25.254170","80.625000","(25.25417, 80.625)"
"Chinguetti","Mesosiderite-B1","4050","Found","1920","20.250000","-12.683330","(20.25, -12.68333)"
"Kushiike","OC","4460","Fell","1920","37.050000","138.383330","(37.05, 138.38333)"
